	Data_Source	Review_Date	Sentiment	Geography	Product	Review	Keywords	Aspect	Product_Family	Title	Sentiment_Score	Review_Count
361	BestBuy	2/10/2024 0:00	Positive	US	Windows 11 (Preinstall)	drain quick the more tab or application you have open and the volume be also excellent.	application	Software	Microsoft Surface Pro 9 13		1	1.0
362	BestBuy	2/10/2024 0:00	Positive	US	Windows 11 (Preinstall)	drain quick the more tab or application you have open and the volume be also excellent.	tab	Hardware	Microsoft Surface Pro 9 13		1	1.0
363	BestBuy	2/10/2024 0:00	Positive	US	Windows 11 (Preinstall)	drain quick the more tab or application you have open and the volume be also excellent.	drain	Battery	Microsoft Surface Pro 9 13		1	1.0
364	BestBuy	3/31/2024 0:00	Neutral	US	Windows 11 (Preinstall)	"""in my experience mostly relate to the sensitivity of certain key and touch, but I be accustomed to these so its not an issue."""	touch	Display	Microsoft Surface Pro 9 13		0	1.0
365	BestBuy	3/31/2024 0:00	Neutral	US	Windows 11 (Preinstall)	"""in my experience mostly relate to the sensitivity of certain key and touch, but I be accustomed to these so its not an issue."""	key	Keyboard	Microsoft Surface Pro 9 13		0	1.0
366	BestBuy	3/31/2024 0:00	Neutral	US	Windows 11 (Preinstall)	"""if you re the kind of person that work off the cloud or out of a network, attach storage 256, which be what I have be plan."""	attach	Ports	Microsoft Surface Pro 9 13		0	1.0
367	BestBuy	3/31/2024 0:00	Neutral	US	Windows 11 (Preinstall)	"""if you re the kind of person that work off the cloud or out of a network, attach storage 256, which be what I have be plan."""	network	Connectivity	Microsoft Surface Pro 9 13		0	1.0
368	BestBuy	3/31/2024 0:00	Neutral	US	Windows 11 (Preinstall)	"""if you re the kind of person that work off the cloud or out of a network, attach storage 256, which be what I have be plan."""	cloud	Storage/Memory	Microsoft Surface Pro 9 13		0	1.0
369	BestBuy	3/31/2024 0:00	Negative	US	Windows 11 (Preinstall)	"""speed be fine when plug in, but highly disappointing on battery power, especially when in recommend mode."""	battery	Battery	Microsoft Surface Pro 9 13		-1	1.0
370	BestBuy	3/2/2024 0:00	Positive	US	Windows 11 (Preinstall)	"""price for the combo be great at 999, since the keyboard alone be a 150 item."""	keyboard	Keyboard	Microsoft Surface Pro 9 13		1	1.0
371	BestBuy	3/2/2024 0:00	Positive	US	Windows 11 (Preinstall)	"""price for the combo be great at 999, since the keyboard alone be a 150 item."""	combo	Performance	Microsoft Surface Pro 9 13		1	1.0
372	BestBuy	3/2/2024 0:00	Positive	US	Windows 11 (Preinstall)	"""price for the combo be great at 999, since the keyboard alone be a 150 item."""	price	Price	Microsoft Surface Pro 9 13		1	1.0
373	BestBuy	3/18/2024 0:00	Neutral	US	Windows 11 (Preinstall)	"""everything struggle with premire, even premire."""	premire	Software	Microsoft Surface Pro 9 13		0	1.0
374	BestBuy	3/31/2024 0:00	Negative	US	Windows 11 (Preinstall)	"""speed be fine when plug in, but highly disappointing on battery power, especially when in recommend mode."""	mode	Software	Microsoft Surface Pro 9 13		-1	1.0
375	BestBuy	3/31/2024 0:00	Negative	US	Windows 11 (Preinstall)	"""speed be fine when plug in, but highly disappointing on battery power, especially when in recommend mode."""	plug	Hardware	Microsoft Surface Pro 9 13		-1	1.0
376	BestBuy	3/31/2024 0:00	Negative	US	Windows 11 (Preinstall)	"""speed be fine when plug in, but highly disappointing on battery power, especially when in recommend mode."""	speed	Performance	Microsoft Surface Pro 9 13		-1	1.0
377	BestBuy	3/31/2024 0:00	Neutral	US	Windows 11 (Preinstall)	so take a look and see how much you need and make sure to budget extra so you do not run out of space.	space	Storage/Memory	Microsoft Surface Pro 9 13		0	1.0
378	BestBuy	3/31/2024 0:00	Neutral	US	Windows 11 (Preinstall)	so take a look and see how much you need and make sure to budget extra so you do not run out of space.	budget	Price	Microsoft Surface Pro 9 13		0	1.0
379	BestBuy	3/31/2024 0:00	Neutral	US	Windows 11 (Preinstall)	so take a look and see how much you need and make sure to budget extra so you do not run out of space.	look	Design	Microsoft Surface Pro 9 13		0	1.0
380	BestBuy	2/10/2024 0:00	Positive	US	Windows 11 (Preinstall)	"""the seamless integration of its powerful component ensure that I never experience any lag or slowdown, allow I to stay productive throughout the day."""	lag	Gaming	Microsoft Surface Pro 9 13		1	1.0
